ucname_file,error_flag,nome,Pré-Requisitos,Carga Horária Total,Carga Horária Prática,Carga Horária Teórica,Carga Horária Extensão
biotecnologia ambiental i,False,biotecnologia ambiental i,não há,72,0,72,0
biotecnologia ambiental ii,False,biotecnologia ambiental ii,biotecnologia ambiental i,72,0,72,0
biotecnologia animal,False,biotecnologia animal,não há,72,0,72,0
biotecnologia de energias renovaveis ii,False,biotecnologia de energias renováveis ii,biotecnologia de energias renováveis i,72,0,72,0
biotecnologia de energias renováveis i,False,biotecnologia de energias renováveis i,não há,72,0,72,0
biotecnologia vegetal,False,biotecnologia vegetal,botânica e fisiologia vegetal,72,0,72,0
bioética e biossegurança,False,bioética e biossegurança,não há,36,0,36,0
blendas poliméricas,False,blendas poliméricas,materiais poliméricos,72,0,72,0
botânica e fisiologia vegetal,False,botânica e fisiologia vegetal,não há,72,0,72,0
cerâmicas refratárias,False,cerâmicas refratárias,materiais cerâmicos,36,0,36,0
circuitos digitais,False,circuitos digitais,não há,72,20,52,0
circuitos elétricos i,False,circuitos elétricos i,não há,72,0,72,0
circuitos elétricos ii,False,circuitos elétricos ii,circuitos elétricos i; fenômenos eletromagnéticos,72,0,72,0
ciência e tecnologia dos materiais,False,ciência e tecnologia de materiais,química geral,72,0,72,0
"ciência, tecnologia e sociedade",False,"ciência, tecnologia e sociedade",não há,36,0,36,0
"ciência, tecnologia, sociedade e ambiente",False,"ciência, tecnologia, sociedade e ambiente",não há,36,0,36,0
compiladores,False,compiladores,linguagens formais e autômatos,72,36,36,0
computação gráfica,False,computação gráfica,algoritmos e estruturas de dados i,72,36,36,0
condicionamento analógico de sinais,False,condicionamento analógico de sinais,laboratório de circuitos elétricos; eletrônica avançada,72,36,36,0
controle de sistemas dinâmicos,False,controle de sistemas dinâmicos,análise de sinais; circuitos elétricos ii,72,36,36,0
controle digital,False,controle digital,controle de sistemas dinâmicos,72,36,36,0
corrosão e degradação de materiais,False,corrosão e degradação de materiais,ciência e tecnologia dos materiais,72,0,72,0
cultura digital,False,cultura digital,não há,72,0,72,0
cálculo em uma variável,False,cálculo em uma variável,não há,108,36,72,0
cálculo em várias variáveis,False,cálculo em várias variáveis,cálculo em uma variável; geometria analítica,72,10,62,0
cálculo numérico,False,cálculo numérico,cálculo em uma variável; geometria analítica,72,14,58,0
desenho técnico assistido por computador,False,desenho técnico assistido por computador,desenho técnico básico,36,36,0,0
desenho técnico básico,False,desenho técnico básico,não há,36,18,18,0
desenvolvimento de games,False,desenvolvimento de games,algoritmos e estruturas de dados i,72,36,36,0
desenvolvimento de novos negócios em engenharia biomédica,False,desenvolvimento de novos negócios em engenharia,microeconomia,36,18,18,0
desenvolvimento integrado de produtos,False,desenvolvimento integrado de produtos,desenho técnico básico,36,0,36,0
ecologia avançada,False,ecologia avançada,introdução à ecologia,72,0,72,0
econometria,False,econometria,probabilidade e estatística; cálculo em várias variáveis,72,22,50,0
efeitos biológicos das radiações ionizantes,False,efeitos biológicos das radiações ionizantes,instrumentos biomédicos,72,0,72,0
elementos de álgebra,False,elementos de álgebra,não há,72,0,72,0
eletrônica avançada,False,eletrônica avançada,circuitos elétricos ii,72,8,64,0
empreendedorismo,False,empreendedorismo,não há desejável teorias administrativas,36,0,36,0
empreendedorismo em biotecnologia,False,empreendedorismo em biotecnologia,não há,36,0,36,0
engenharia bioquímica i,False,engenharia bioquímica i,fundamentos de engenharia bioquímica; microbiologia geral,72,0,72,0
engenharia bioquímica ii,False,engenharia bioquímica ii,engenharia bioquímica i,72,0,72,0
engenharia clínica hospitalar,False,engenharia clinica hospitalar aplicada,introdução à eletrotécnica,72,36,36,0
engenharia de produtos cerâmicos,False,engenharia de produtos cerâmicos,matérias-primas cerâmicas; processamento de materiais cerâmicos,72,0,72,0
engenharia de software,False,engenharia de software,programação orientada a objetos,72,36,36,0
engenharia médica aplicada,False,engenharia médica aplicada,fisiologia humana; imagens biomédicas; transdução de grandezas biomédicas,72,36,36,0
engenharia tecidual e medicina regenerativa,False,engenharia tecidual e medicina regenerativa,biologia molecular da célula; fisiologia humana,72,0,72,0
ensaios de materiais,False,ensaios de materiais,ciência e tecnologia dos materiais,72,20,52,0
equações diferenciais ordinárias,False,equações diferenciais ordinárias,álgebra linear; séries e equações diferenciais ordinárias,72,0,72,0
equações diferenciais parciais,False,equações diferenciais parciais,cálculo em várias variáveis; séries e equações diferenciais ordinárias,72,0,72,0
espaços métricos,False,espaços métricos,cálculo em várias variáveis,72,0,72,0
estrutura e propriedades de polímeros,False,estrutura e propriedades de polímeros,materiais poliméricos,72,12,60,0
farmacologia molecular,False,farmacologia molecular,não há,72,0,72,0
