A,B
matemática discreta,linguagens formais e autômatos
lógica de programação,linguagens formais e autômatos
processamento de materiais cerâmicos,manufatura aditiva
teorias administrativas,marketing estratégico
cálculo em uma variável,matemática geral
materiais metálicos,materiais aeroespaciais
materiais cerâmicos,materiais aeroespaciais
materiais poliméricos,materiais aeroespaciais
ciência e tecnologia dos materiais,materiais cerâmicos
ciência e tecnologia dos materiais,materiais compósitos
materiais cerâmicos,materiais de construção civil
fenômenos eletromagnéticos,materiais elétricos
ciência e tecnologia dos materiais,materiais metálicos
ciência e tecnologia dos materiais,materiais poliméricos
materiais cerâmicos,matérias-primas cerâmicos
geometria analítica,mecânica geral
fenômenos mecânicos,mecânica geral
materiais metálicos,metalurgia extrativa
termodinâmica dos sólidos,metalurgia extrativa
ciência e tecnologia dos materiais,metalurgia física
ciência e tecnologia dos materiais,metalurgia mecânica
resistência dos materiais,metalurgia mecânica
microbiologia geral,microbiologia aplicada e industrial
lógica de programação,modelagem computacional
cálculo em uma variável,modelagem computacional
biologia estrutural,modelagem molecular
biotecnologia animal,modelos animais
algoritmos e estruturas de dados i,multimídia
análise de sinais,métodos avançados em processamento de imagens biomédicas
probabilidade e estatística,métodos estatísticos multivariados
séries e equações diferenciais ordinárias,métodos matemáticos para a engenharia
cálculo em várias variáveis,métodos matemáticos para a engenharia
cálculo numérico,métodos numéricos para equações diferenciais
álgebra linear,métodos numéricos para equações diferenciais
séries e equações diferenciais ordinárias,métodos numéricos para equações diferenciais
otimização linear,otimização inteira
geometria analítica,otimização linear
lógica de programação,otimização linear
cálculo em várias variáveis,otimização não linear
cálculo numérico,otimização não linear
programação orientada a objetos,paradigmas da programação
probabilidade e estatística,planejamento de experimentos
probabilidade e estatística,probabilidade
cálculo em várias variáveis,probabilidade
cálculo em uma variável,probabilidade e estatística
algoritmos e estruturas de dados i,processamento de imagens
séries e equações diferenciais ordinárias,processamento de imagens
materiais cerâmicos,processamento de materiais cerâmicos
metalurgia física,processamento de materiais metálicos
metalurgia mecânica,processamento de materiais metálicos
análise de sinais,processamento de sinais
algoritmos em bioinformática,processamento de sinais
materiais poliméricos,processamento de termofíxos e elastômeros
materiais poliméricos,processamento de termoplásticos
sistemas operacionais,programação concorrente e distribuída
algoritmos e estruturas de dados i,programação orientada a objetos
programação concorrente e distribuída,programação paralela e processamento de alto desempenho
matemática discreta,projeto e análise de algoritmos
algoritmos e estruturas de dados ii,projeto e análise de algoritmos
programação orientada a objetos,projeto orientado a objetos
bioquímica analítica,proteômica
introdução à bioinformática,proteômica
desenho técnico básico,prototipagem e manufatura aditiva
química geral,prática em projetos extensionistas i
lógica de programação,prática em projetos extensionistas i
fundamentos de biologia moderna,prática em projetos extensionistas i
instrumentos eletromédicos,práticas em instrumentação biomédica
instrumentos biomédicos i,práticas em instrumentação biomédica
sistemas embarcados,práticas em instrumentação biomédica
biossensores,práticas em instrumentação biomédica
química geral,práticas em projetos extensionistas ii
lógica de programação,práticas em projetos extensionistas ii
probabilidade e estatística,qualidade
química medicinal i,quimica medicinal ii
química geral,química analítica
química geral experimental,química analítica
química geral,química inorgânica
bioquímica i,química medicinal i
química geral,química orgânica
química geral,química orgânica experimental
química geral experimental,química orgânica experimental
instrumentos biomédicos i,radioterapia para engenharia
algoritmos e estruturas de dados i,realidade virtual e aumentada
ciência e tecnologia dos materiais,reciclagem de materiais
programação orientada a objetos,redes de computadores
materiais poliméricos,reologia dos materiais
fenômenos de transporte,reologia dos materiais
mecânica geral,resistência dos materiais
cálculo em várias variáveis,resolução de problemas via modelagem matemática
geometria analítica,resolução de problemas via modelagem matemática
lógica de programação,resolução de problemas via modelagem matemática
sistemas operacionais,segurança computacional
ciência e tecnologia dos materiais,seleção de materiais
sistemas operacionais,sistemas distribuídos
mecânica geral,sistemas mecânicos
algoritmos e estruturas de dados i,sistemas operacionais
cálculo em uma variável,séries e equações diferenciais ordinárias
química orgânica,síntese de polímeros
materiais poliméricos,síntese de polímeros
materiais poliméricos,tecnologia em tintas e vernizes
projeto e análise de algoritmos,teoria dos grafos
matemática discreta,teoria dos números e criptografia
química geral,termodinâmica dos sólidos
química geral,termodinâmica química
cálculo em uma variável,termodinâmica química
circuitos elétricos ii,transdução de grandezas biomédicas
materiais metálicos,tratamentos térmicos
ciência e tecnologia dos materiais,técnicas experimentais
probabilidade e estatística,tópicos em estatística
fenômenos eletromagnéticos,tópicos em ressonância magnética nuclear
algoritmos e estruturas de dados i,tópicos em tecnologia da computação i
algoritmos e estruturas de dados i,tópicos em tecnologia da computação ii
algoritmos e estruturas de dados i,tópicos em tecnologia da computação iii
algoritmos e estruturas de dados i,tópicos em tecnologia da computação iv
algoritmos e estruturas de dados i,tópicos em tecnologia da computação v
engenharia de software,validação e verificação de software
materiais cerâmicos,"vidros, vitrocerâmicas e vidrados"
geometria analítica,álgebra linear
cálculo numérico,álgebra linear computacional
álgebra linear,álgebra linear ii
