"ucname_file","error_flag","nome","Pré-Requisitos","Carga Horária Total","Carga Horária Prática","Carga Horária Teórica","Carga Horária Extensão","id","group","topgen","size"
"inteligência artificial",False,"inteligência artificial","algoritmos e estruturas de dados i",72.0,24.0,48.0,0.0,106,"005","2",1.0
"interação humano-computador",False,"interação humano-computador","programação orientada a objetos",72.0,18.0,54.0,0.0,107,"004","3",1.0
"introdução à análise de falhas em metais",False,"introdução à análise de falhas em metais","metalurgia mecânica",72.0,0.0,72.0,0.0,108,"003","4",1.0
"introdução à bioinformática",False,"introdução à bioinformática","biologia molecular da célula ; lógica de programação",72.0,36.0,36.0,0.0,109,"005","2",2.0
"introdução à biologia de sistemas",False,"introdução à biologia de sistemas","biologia molecular da célula",72.0,36.0,36.0,0.0,110,"005","2",1.0
"introdução à biotecnologia",False,"introdução à biotecnologia","não há",36.0,0.0,36.0,0.0,111,"000","",""
"introdução à ecologia",False,"introdução à ecologia","não há",72.0,0.0,72.0,0.0,112,"007","0",2.0
"introdução à eletrotécnica",False,"introdução à eletrotécnica","circuitos elétricos ii",36.0,0.0,36.0,0.0,113,"005","2",2.0
"introdução à engenharia biomédica",False,"introdução à engenharia biomédica","não há",36.0,0.0,36.0,0.0,114,"000","",""
"introdução à engenharia de materiais",False,"introdução à engenharia de materiais","não há",36.0,0.0,36.0,0.0,115,"000","",""
"introdução à engenharia financeira",False,"introdução à engenharia financeira","cálculo em várias variáveis; probabilidade e estatística",72.0,36.0,36.0,0.0,116,"005","2",1.0
"introdução à geometria diferencial",False,"introdução à geometria diferencial","cálculo em várias variáveis",72.0,0.0,72.0,0.0,117,"005","2",1.0
"introdução à nanotecnologia",False,"introdução à nanotecnologia","não há",36.0,6.0,30.0,0.0,118,"000","",""
"introdução à neurociência",False,"introdução à neurociência","séries e equações diferenciais ordinárias; algoritmos em bioinformática; fisiologia humana",72.0,36.0,36.0,0.0,119,"005","2",1.0
"introdução à pesquisa operacional",False,"introdução à pesquisa operacional","álgebra linear",72.0,8.0,64.0,0.0,120,"005","2",1.0
"introdução à teoria dos sistemas dinâmicos",False,"introdução à teoria dos sistemas dinâmicos","análise real i",72.0,0.0,72.0,0.0,121,"005","2",1.0
"introdução à ótica biomédica",False,"introdução à ótica biomédica","fenômenos do contínuo",72.0,0.0,72.0,0.0,122,"006","1",1.0
"introdução às redes neurais artificiais",False,"introdução às redes neurais artificiais","algoritmos e estruturas de dados i",72.0,36.0,36.0,0.0,123,"005","2",1.0
"laboratório avançado de métodos ágeis e software",False,"laboratório avançado de métodos ágeis e software","algoritmos e estruturas de dados i",108.0,72.0,36.0,0.0,124,"005","2",1.0
"laboratório de biologia molecular e celular",False,"laboratório de biologia molecular e celular","biologia molecular da célula",36.0,36.0,0.0,0.0,125,"005","2",1.0
"laboratório de bioquímica",False,"laboratório de bioquímica","bioquímica i; biologia molecular do gene",72.0,72.0,0.0,0.0,126,"005","2",1.0
"laboratório de bioquímica analítica",False,"laboratório de bioquímica analítica","bioquímica analítica",36.0,36.0,0.0,0.0,127,"004","3",1.0
"laboratório de circuitos elétricos",False,"laboratório de circuitos elétricos","fenômenos eletromagnéticos; circuitos elétricos i",36.0,36.0,0.0,0.0,128,"006","1",2.0
"laboratório de eletrônica digital",False,"laboratório de eletrônica digital","circuitos digitais",36.0,36.0,0.0,0.0,129,"006","1",1.0
"laboratório de engenharia bioquímica",False,"laboratório de engenharia bioquímica","engenharia bioquímica i",36.0,36.0,0.0,0.0,130,"003","4",1.0
"laboratório de estatística aplicada",False,"laboratório de estatística aplicada","probabilidade e estatística",72.0,36.0,36.0,0.0,131,"005","2",1.0
"laboratório de matemática",False,"laboratório de matemática","não há",36.0,36.0,0.0,0.0,132,"000","",""
"laboratório de microbiologia",False,"laboratório de microbiologia","microbiologia geral",36.0,36.0,0.0,0.0,133,"006","1",1.0
"laboratório de sistemas computacionais: arquitetura e organização de computadores",False,"laboratório de sistemas computacionais: arquitetura e","arquitetura e organização de computadores; laboratório de sistemas computacionais: circuitos digitais",72.0,58.0,14.0,0.0,134,"005","2",5.0
"laboratório de sistemas computacionais: circuitos digitais",False,"laboratório de sistemas computacionais: circuitos digitais","circuitos digitais",36.0,28.0,8.0,0.0,135,"006","1",6.0
"laboratório de sistemas computacionais: compiladores",False,"laboratório de sistemas computacionais: compiladores","compiladores; laboratório de sistemas computacionais: engenharia de sistemas",72.0,58.0,14.0,0.0,136,"003","4",3.0
"laboratório de sistemas computacionais: comunicação digital",False,"lab de sistemas computacionais: comunicação","redes de computadores; laboratório de sistemas computacionais: sistemas operacionais",72.0,36.0,36.0,0.0,137,"001","6",1.0
"laboratório de sistemas computacionais: engenharia de sistemas",False,"laboratório de sistemas computacionais: engenharia de sistemas","laboratório de sistemas computacionais: arquitetura e organização de computadores",36.0,28.0,8.0,0.0,138,"004","3",4.0
"laboratório de sistemas computacionais: sistemas operacionais",False,"laboratório de sistemas computacionais: sistemas operacionais","sistemas operacionais; laboratório de sistemas computacionais: compiladores",72.0,58.0,14.0,0.0,139,"002","5",2.0
"laboratório de usabilidade na web",False,"laboratório de usabilidade na web","programação orientada a objetos",72.0,48.0,24.0,0.0,140,"004","3",1.0
"linguagens formais e autômatos",False,"linguagens formais e autômatos","matemática discreta; lógica de programação",72.0,0.0,72.0,0.0,141,"006","1",5.0
"lógica de programação",False,"lógica de programação","não há",72.0,30.0,42.0,0.0,142,"007","0",6.0
"manufatura aditiva",False,"manufatura aditiva","processamento de materiais cerâmicos",72.0,0.0,72.0,0.0,143,"003","4",1.0
"marketing estratégico",False,"marketing estratégico","teorias administrativas",36.0,0.0,36.0,0.0,144,"006","1",1.0
"matemática discreta",False,"matemática discreta","não há",72.0,36.0,36.0,0.0,145,"007","0",6.0
"matemática geral",False,"matemática geral","cálculo em uma variável",72.0,0.0,72.0,0.0,146,"006","1",4.0
"materiais aeroespaciais",False,"materiais aeroespaciais","materiais metálicos, materiais cerâmicos, materiais poliméricos",72.0,0.0,72.0,0.0,147,"004","3",1.0
"materiais cerâmicos",False,"materiais cerâmicos","ciência e tecnologia dos materiais",72.0,12.0,60.0,0.0,148,"005","2",3.0
"materiais compósitos",False,"materiais compósitos","ciência e tecnologia de materiais",72.0,8.0,64.0,0.0,149,"005","2",1.0
"materiais de construção civil",False,"materiais de construção civil","materiais cerâmicos",72.0,0.0,72.0,0.0,150,"004","3",1.0
"materiais elétricos",False,"materiais elétricos","fenômenos eletromagnéticos",72.0,0.0,72.0,0.0,151,"006","1",1.0
"materiais metálicos",False,"materiais metálicos","ciência e tecnologia dos materiais",72.0,20.0,52.0,0.0,152,"005","2",2.0
"materiais poliméricos",False,"materiais poliméricos","ciência e tecnologia dos materiais",72.0,12.0,60.0,0.0,153,"005","2",2.0
"matérias-primas cerâmicos",False,"matérias-primas cerâmicas","materiais cerâmicos",72.0,16.0,56.0,0.0,154,"004","3",2.0
"mecânica geral",False,"mecânica geral","geometria analítica; fenômenos mecânicos",72.0,0.0,72.0,0.0,155,"006","1",4.0
